Time Block,Time Desc,UNCHAHAR4,Grand Total
1,00:00-00:15,257.81,257.81
2,00:15-00:30,257.81,257.81
3,00:30-00:45,257.81,257.81
4,00:45-01:00,257.81,257.81
5,01:00-01:15,257.81,257.81
6,01:15-01:30,257.81,257.81
7,01:30-01:45,257.81,257.81
8,01:45-02:00,257.81,257.81
9,02:00-02:15,257.81,257.81
10,02:15-02:30,257.81,257.81
11,02:30-02:45,257.81,257.81
12,02:45-03:00,257.81,257.81
13,03:00-03:15,257.81,257.81
14,03:15-03:30,257.81,257.81
15,03:30-03:45,257.81,257.81
16,03:45-04:00,257.81,257.81
17,04:00-04:15,257.81,257.81
18,04:15-04:30,257.81,257.81
19,04:30-04:45,257.81,257.81
20,04:45-05:00,257.81,257.81
21,05:00-05:15,257.81,257.81
22,05:15-05:30,329.81,329.81
23,05:30-05:45,401.81,401.81
24,05:45-06:00,468.75,468.75
25,06:00-06:15,468.750001,468.750001
26,06:15-06:30,468.750001,468.750001
27,06:30-06:45,468.753477,468.753477
28,06:45-07:00,468.75,468.75
29,07:00-07:15,468.746523,468.746523
30,07:15-07:30,468.74126,468.74126
31,07:30-07:45,468.741591,468.741591
32,07:45-08:00,468.75,468.75
33,08:00-08:15,468.75,468.75
34,08:15-08:30,468.75,468.75
35,08:30-08:45,468.75,468.75
36,08:45-09:00,468.75,468.75
37,09:00-09:15,468.742197,468.742197
38,09:15-09:30,468.75,468.75
39,09:30-09:45,468.75,468.75
40,09:45-10:00,468.75,468.75
41,10:00-10:15,468.75,468.75
42,10:15-10:30,468.75,468.75
43,10:30-10:45,468.75,468.75
44,10:45-11:00,468.75,468.75
45,11:00-11:15,468.75,468.75
46,11:15-11:30,468.75,468.75
47,11:30-11:45,468.75,468.75
48,11:45-12:00,468.75,468.75
49,12:00-12:15,468.75,468.75
50,12:15-12:30,468.75,468.75
51,12:30-12:45,468.75,468.75
52,12:45-13:00,468.75,468.75
53,13:00-13:15,468.75,468.75
54,13:15-13:30,468.75,468.75
55,13:30-13:45,468.75,468.75
56,13:45-14:00,468.75,468.75
57,14:00-14:15,468.75,468.75
58,14:15-14:30,468.75,468.75
59,14:30-14:45,468.75,468.75
60,14:45-15:00,468.75,468.75
61,15:00-15:15,468.75,468.75
62,15:15-15:30,468.75,468.75
63,15:30-15:45,468.75,468.75
64,15:45-16:00,468.75,468.75
65,16:00-16:15,468.7475,468.7475
66,16:15-16:30,468.7475,468.7475
67,16:30-16:45,468.7475,468.7475
68,16:45-17:00,468.7475,468.7475
69,17:00-17:15,468.7475,468.7475
70,17:15-17:30,468.7475,468.7475
71,17:30-17:45,468.7475,468.7475
72,17:45-18:00,468.7475,468.7475
73,18:00-18:15,468.7475,468.7475
74,18:15-18:30,468.7475,468.7475
75,18:30-18:45,468.7475,468.7475
76,18:45-19:00,468.7475,468.7475
77,19:00-19:15,468.7475,468.7475
78,19:15-19:30,468.7475,468.7475
79,19:30-19:45,468.7575,468.7575
80,19:45-20:00,468.7475,468.7475
81,20:00-20:15,468.7475,468.7475
82,20:15-20:30,468.7475,468.7475
83,20:30-20:45,468.7475,468.7475
84,20:45-21:00,468.7575,468.7575
85,21:00-21:15,468.7575,468.7575
86,21:15-21:30,468.7575,468.7575
87,21:30-21:45,468.759449,468.759449
88,21:45-22:00,468.75,468.75
89,22:00-22:15,468.75,468.75
90,22:15-22:30,444.68,444.68
91,22:30-22:45,468.75,468.75
92,22:45-23:00,396.75,396.75
93,23:00-23:15,324.75,324.75
94,23:15-23:30,257.81,257.81
95,23:30-23:45,257.81,257.81
96,23:45-24:00,257.81,257.81
